"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"326","2013-10-01 00:01:08","2013-10-01 00:06:34","239","Willoughby St & Fleet St","40.69196566","-73.9813018","366","Clinton Ave & Myrtle Ave","40.693261","-73.968896","16052","Subscriber","1982","1"
"729","2013-10-01 00:01:21","2013-10-01 00:13:30","322","Clinton St & Tillary St","40.696192","-73.991218","398","Atlantic Ave & Furman St","40.69165183","-73.9999786","19412","Customer",\N,"0"
"520","2013-10-01 00:01:24","2013-10-01 00:10:04","174","E 25 St & 1 Ave","40.7381765","-73.97738662","403","E 2 St & 2 Ave","40.72502876","-73.99069656","19645","Subscriber","1984","1"
"281","2013-10-01 00:01:25","2013-10-01 00:06:06","430","York St & Jay St","40.7014851","-73.98656928","323","Lawrence St & Willoughby St","40.69236178","-73.98631746","16992","Subscriber","1985","1"
"196","2013-10-01 00:01:27","2013-10-01 00:04:43","403","E 2 St & 2 Ave","40.72502876","-73.99069656","401","Allen St & Rivington St","40.72019576","-73.98997825","15690","Subscriber","1986","1"
"1948","2013-10-01 00:01:48","2013-10-01 00:34:16","369","Washington Pl & 6 Ave","40.73224119","-74.00026394","307","Canal St & Rutgers St","40.71427487","-73.98990025","19846","Subscriber","1977","1"
"1327","2013-10-01 00:01:48","2013-10-01 00:23:55","254","W 11 St & 6 Ave","40.73532427","-73.99800419","539","Metropolitan Ave & Bedford Ave","40.71534825","-73.96024116","14563","Subscriber","1986","2"
"1146","2013-10-01 00:01:57","2013-10-01 00:21:03","490","8 Ave & W 33 St","40.751551","-73.993934","438","St Marks Pl & 1 Ave","40.72779126","-73.98564945","16793","Subscriber","1959","1"
"380","2013-10-01 00:01:58","2013-10-01 00:08:18","468","Broadway & W 55 St","40.7652654","-73.98192338","385","E 55 St & 2 Ave","40.75797322","-73.96603308","16600","Customer",\N,"0"
"682","2013-10-01 00:02:05","2013-10-01 00:13:27","300","Shevchenko Pl & E 6 St","40.728145","-73.990214","519","Pershing Square N","40.75188406","-73.97770164","15204","Subscriber","1992","1"
"863","2013-10-01 00:02:20","2013-10-01 00:16:43","322","Clinton St & Tillary St","40.696192","-73.991218","398","Atlantic Ave & Furman St","40.69165183","-73.9999786","19494","Customer",\N,"0"
"664","2013-10-01 00:02:45","2013-10-01 00:13:49","482","W 15 St & 7 Ave","40.73935542","-73.99931783","505","6 Ave & W 33 St","40.74901271","-73.98848395","17241","Subscriber","1973","1"
"324","2013-10-01 00:02:58","2013-10-01 00:08:22","463","9 Ave & W 16 St","40.74206539","-74.00443172","254","W 11 St & 6 Ave","40.73532427","-73.99800419","19330","Subscriber","1991","1"
"537","2013-10-01 00:03:22","2013-10-01 00:12:19","285","Broadway & E 14 St","40.73454567","-73.99074142","462","W 22 St & 10 Ave","40.74691959","-74.00451887","16872","Subscriber","1974","1"
"400","2013-10-01 00:03:23","2013-10-01 00:10:03","499","Broadway & W 60 St","40.76915505","-73.98191841","352","W 56 St & 6 Ave","40.76340613","-73.97722479","19690","Subscriber","1974","1"
"777","2013-10-01 00:03:28","2013-10-01 00:16:25","410","Suffolk St & Stanton St","40.72066442","-73.98517977","532","S 5 Pl & S 4 St","40.710451","-73.960876","16626","Subscriber","1985","1"
"653","2013-10-01 00:03:31","2013-10-01 00:14:24","504","1 Ave & E 15 St","40.73221853","-73.98165557","531","Forsyth St & Broome St","40.71893904","-73.99266288","20304","Subscriber","1987","2"
"410","2013-10-01 00:03:50","2013-10-01 00:10:40","307","Canal St & Rutgers St","40.71427487","-73.98990025","291","Madison St & Montgomery St","40.713126","-73.984844","18353","Subscriber","1988","1"
"626","2013-10-01 00:04:07","2013-10-01 00:14:33","262","Washington Park","40.69178232","-73.97372989","143","Clinton St & Joralemon St","40.69239502","-73.99337909","17118","Subscriber","1970","1"
"900","2013-10-01 00:04:09","2013-10-01 00:19:09","441","E 52 St & 2 Ave","40.756014","-73.967416","379","W 31 St & 7 Ave","40.749156","-73.9916","17079","Subscriber","1964","1"
"324","2013-10-01 00:04:12","2013-10-01 00:09:36","351","Front St & Maiden Ln","40.70530954","-74.00612572","308","St James Pl & Oliver St","40.71307916","-73.99851193","15865","Subscriber","1988","1"
"154","2013-10-01 00:04:15","2013-10-01 00:06:49","483","E 12 St & 3 Ave","40.73223272","-73.98889957","280","E 10 St & 5 Ave","40.73331967","-73.99510132","15370","Subscriber","1994","1"
"716","2013-10-01 00:04:30","2013-10-01 00:16:26","285","Broadway & E 14 St","40.73454567","-73.99074142","251","Mott St & Prince St","40.72317958","-73.99480012","17702","Subscriber","1981","1"
"1993","2013-10-01 00:04:44","2013-10-01 00:37:57","423","W 54 St & 9 Ave","40.76584941","-73.98690506","412","Forsyth St & Canal St","40.7158155","-73.99422366","20170","Subscriber","1984","1"
"1160","2013-10-01 00:04:58","2013-10-01 00:24:18","369","Washington Pl & 6 Ave","40.73224119","-74.00026394","127","Barrow St & Hudson St","40.73172428","-74.00674436","16495","Subscriber","1959","1"
"761","2013-10-01 00:05:01","2013-10-01 00:17:42","435","W 21 St & 6 Ave","40.74173969","-73.99415556","450","W 49 St & 8 Ave","40.76227205","-73.98788205","16847","Subscriber","1989","1"
"492","2013-10-01 00:05:32","2013-10-01 00:13:44","322","Clinton St & Tillary St","40.696192","-73.991218","398","Atlantic Ave & Furman St","40.69165183","-73.9999786","16883","Customer",\N,"0"
"365","2013-10-01 00:06:13","2013-10-01 00:12:18","364","Lafayette Ave & Classon Ave","40.68900443","-73.96023854","241","DeKalb Ave & S Portland Ave","40.68981035","-73.97493121","15715","Subscriber","1980","2"
"458","2013-10-01 00:06:24","2013-10-01 00:14:02","392","Jay St & Tech Pl","40.695065","-73.987167","262","Washington Park","40.69178232","-73.97372989","19331","Subscriber","1981","1"
"396","2013-10-01 00:06:37","2013-10-01 00:13:13","450","W 49 St & 8 Ave","40.76227205","-73.98788205","359","E 47 St & Park Ave","40.75510267","-73.97498696","18978","Subscriber","1981","1"
"798","2013-10-01 00:06:43","2013-10-01 00:20:01","242","Flushing Ave & Carlton Ave","40.69788349","-73.97350332","460","S 4 St & Wythe Ave","40.71285887","-73.96590294","16979","Subscriber","1984","1"
"647","2013-10-01 00:07:01","2013-10-01 00:17:48","536","1 Ave & E 30 St","40.74144387","-73.97536082","512","W 29 St & 9 Ave","40.7500727","-73.99839279","17092","Subscriber","1979","1"
"122","2013-10-01 00:07:27","2013-10-01 00:09:29","391","Clark St & Henry St","40.69760127","-73.99344559","407","Henry St & Poplar St","40.700469","-73.991454","17945","Subscriber","1978","1"
"614","2013-10-01 00:07:51","2013-10-01 00:18:05","367","E 53 St & Lexington Ave","40.75828065","-73.97069431","528","2 Ave & E 31 St","40.74290902","-73.97706058","16431","Subscriber","1991","1"
"170","2013-10-01 00:07:53","2013-10-01 00:10:43","430","York St & Jay St","40.7014851","-73.98656928","503","E 20 St & Park Ave","40.73827428","-73.98751968","16922","Subscriber","1981","2"
"724","2013-10-01 00:07:59","2013-10-01 00:20:03","120","Lexington Ave & Classon Ave","40.68676793","-73.95928168","120","Lexington Ave & Classon Ave","40.68676793","-73.95928168","19598","Customer",\N,"0"
"511","2013-10-01 00:08:17","2013-10-01 00:16:48","285","Broadway & E 14 St","40.73454567","-73.99074142","404","9 Ave & W 14 St","40.7405826","-74.00550867","18322","Subscriber","1982","2"
"1274","2013-10-01 00:08:37","2013-10-01 00:29:51","512","W 29 St & 9 Ave","40.7500727","-73.99839279","499","Broadway & W 60 St","40.76915505","-73.98191841","19191","Subscriber","1988","1"
"717","2013-10-01 00:08:38","2013-10-01 00:20:35","467","Dean St & 4 Ave","40.68312489","-73.97895137","396","Lefferts Pl & Franklin Ave","40.680342423","-73.9557689392","17551","Subscriber","1985","1"
"514","2013-10-01 00:08:45","2013-10-01 00:17:19","513","W 56 St & 10 Ave","40.768254","-73.988639","522","E 51 St & Lexington Ave","40.75714758","-73.97207836","18946","Subscriber","1984","1"
"459","2013-10-01 00:09:18","2013-10-01 00:16:57","438","St Marks Pl & 1 Ave","40.72779126","-73.98564945","393","E 5 St & Avenue C","40.72299208","-73.97995466","14878","Subscriber","1992","1"
"492","2013-10-01 00:09:23","2013-10-01 00:17:35","368","Carmine St & 6 Ave","40.73038599","-74.00214988","251","Mott St & Prince St","40.72317958","-73.99480012","19447","Subscriber","1989","2"
